Month,Month,Views,Views increased,Watch time (hours),Watch time increase,Subscribers,Subscribers increased,Revenue,Revenue Increase,Videos
"January, 2023",1/1/2023,"44,700",0,"2,200",0,206,0,7281.85,0,9
"February, 2023",2/1/2023,"44,400",-300,"2,100",-100,201,-5,7290.49,8.64,7
"March, 2023",3/1/2023,"54,900","10,500","2,400",300,248,47,8040,749.51,10
"April, 2023",4/1/2023,"51,200","-3,700","2,200",-200,200,-48,7434.57,-605.43,9
"May, 2023",5/1/2023,"52,700","1,500","2,400",200,211,11,8266.61,832.04,9
"June, 2023",6/1/2023,"49,202","-3,498","2,200",-200,206,-5,7836.71,-429.9,8
"July, 2023",7/1/2023,"62,007","12,805","2,200",0,242,36,7898.54,61.83,8
"August, 2023",8/1/2023,"65,989","3,982","2,969",769,357,115,9950.24,2051.7,10
"September, 2023",9/1/2023,"57,122","-8,867","2,615",-354,353,-4,8476.46,-1473.78,10
"October, 2023",10/1/2023,"51,236","-5,886","2,221",-394,212,-141,8056.71,-419.75,9
"November, 2023",11/1/2023,"46,934","-4,302","2,065",-156,222,10,8053.91,-2.8,5
